t,vout,code
33879371900.0,2.8817881788178816,643.0
33883377000.0,2.8822882288228824,644.0
33887371400.0,2.8827882788278827,643.0
33891369900.0,2.8832883288328834,643.0
33895372100.0,2.8837883788378837,644.0
33899394000.0,2.8842884288428845,644.0
33903388300.0,2.884788478847885,644.0
33907374900.0,2.885288528852885,643.0
33911375400.0,2.885788578857886,643.0
33915389400.0,2.886288628862886,644.0
33919373900.0,2.886788678867887,644.0
33923389800.0,2.8872887288728872,645.0
33927389500.0,2.887788778877888,644.0
33931390400.0,2.8882888288828883,644.0
33935377200.0,2.8887888788878886,644.0
33939377400.0,2.8892889288928894,644.0
33943384800.0,2.8897889788978897,645.0
33947376500.0,2.8902890289028904,644.0
33951376500.0,2.8907890789078907,644.0
33955379800.0,2.8912891289128915,645.0
33959392600.0,2.891789178917892,645.0
33963380800.0,2.892289228922892,646.0
33967380900.0,2.892789278927893,645.0
33971381300.0,2.893289328932893,645.0
33975394100.0,2.893789378937894,646.0
33979384000.0,2.894289428942894,646.0
33983381200.0,2.894789478947895,646.0
33987381300.0,2.8952895289528953,646.0
33991395400.0,2.895789578957896,646.0
33995387100.0,2.8962896289628963,646.0
33999382600.0,2.8967896789678966,647.0
34003384800.0,2.8972897289728974,647.0
34007392900.0,2.8977897789778977,646.0
34011400000.0,2.8982898289828984,646.0
34015396800.0,2.8987898789878987,647.0
34019386000.0,2.8992899289928995,647.0
34023392100.0,2.8997899789979,647.0
34027403100.0,2.9002900290029,647.0
34031402100.0,2.900790079007901,647.0
34035386900.0,2.901290129012901,648.0
34039389700.0,2.901790179017902,648.0
34043395400.0,2.9022902290229022,648.0
34047403000.0,2.902790279027903,647.0
34051390000.0,2.9032903290329033,647.0
34055407500.0,2.9037903790379036,648.0
34059407400.0,2.9042904290429044,648.0
34063411800.0,2.9047904790479047,648.0
34067399100.0,2.9052905290529054,648.0
34071393400.0,2.9057905790579057,648.0
34075414100.0,2.9062906290629065,649.0
34079395100.0,2.906790679067907,649.0
34083392900.0,2.907290729072907,649.0
34087439300.0,2.907790779077908,648.0
34091398600.0,2.908290829082908,648.0
34095397700.0,2.908790879087909,649.0
34099403400.0,2.909290929092909,649.0
34103393700.0,2.90979097909791,650.0
34107393000.0,2.9102910291029103,649.0
34111413700.0,2.910791079107911,649.0
34115391600.0,2.9112911291129113,650.0
34119402300.0,2.9117911791179116,650.0
34123396500.0,2.9122912291229124,650.0
34127408600.0,2.9127912791279127,650.0
34131412900.0,2.9132913291329134,650.0
34135395800.0,2.9137913791379138,650.0
